1 уровень,2 уровень,П. №1,Значение,Тип,П. №2,Значение,Тип,П. №3,Значение,Тип,П. №4,Значение,Тип,П. №5,Значение,Тип,П. №6,Значение,Тип,П. №7,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Тип
Площадки,Банкетные площадки,Вместимость,20 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Бизнес-площадки,Вместимость,21 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Концертные площадки,Вместимость,22 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Свадебные площадки,Вместимость,23 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Летние площадки,Вместимость,24 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Загодные площадки,Вместимость,25 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Игровые плошадки,Вместимость,26 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Спортивные площадки,Вместимость,27 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Площадки,Особые площадки,Вместимость,20 / 30 / 50 / 80 / 100 / 120 / 150 / 200 / 250 / 300 / 350 / 400 / 500 / 500+ / 600 / 700 / 1000 / 1000+ / 1500 / 1500+,Список,Расположение,Список всех городов,Список,Стоимость,от 0 до 40000 р./чел,ползунок,Аренда,от 0 до 3000000 р.,ползунок,Обслуживание,от 0 до 20 %,ползунок,Сторонний кейтеринг,Да или нет,Чек,Оснащение,Установка авто,"Своя парковка, не менее (знач)",Служебный вход,"Гримёрные комнаты, не менее (знач)",звуковое оборудование (да или нет),Световое оборудование (да или нет),Плазменные панели ( да или нет),Проекторы и экраны (да или нет),Чек
Артисты,Шоу программа,Стоимость,от 0 до 200000000 р,Список,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
